s,desired_out
行者道：「想是在草裏睡著了，說得是夢話？」,行者:道:八戒
國王展開方看，又見黃門官來奏：「三位國師來也。」,黃門官:奏:國王
行者見說得有理，真個不敢動身，只得回心，跪下哀告道：「師父！這是他奈何我的法兒，教我隨你西去。我也不去惹他，你也莫當常言，只管念誦。我願保你，再無退悔之意了。」,孫悟空:跪下哀告道:三藏
唐僧道：「也罷，隨你去叫他。」,三藏:道:行者
眾妖接到宮中，鱖婆上前問道：「大王趕那兩個和尚到那方來？」,鱖婆:道:怪物
行者道：「你等是那幾個，可報名來，我好點卯。」,孫悟空:道:眾神
敖廣即率龍子、龍孫、蝦兵、蟹卒一齊出門迎接，請裏面坐。,龍王:率:龍子、龍孫、蝦兵、蟹卒
虎力大仙道：「說的是。」,虎力大仙:道:羊力大仙
早有遊神急降大聖耳邊道：「哪吒太子來助功了。」,日遊神:道:行者
你道是誰，原來是烏雞國王的太子，急上前扯住那魔王的朝服，跪在面前道：「父王息怒。」,太子:扯住:魔王
老者道：「敝處乃西番哈咇國界。這廟後有一莊人家，共發虔心，立此廟宇。里者，乃一鄉里地；社者，乃一社土神。每遇春耕、夏耘、秋收、冬藏之日，各辦三牲花果，來此祭社，以保四時清吉，五穀豐登，六畜茂盛故也。」,老者:道:三藏
走上前，扯了師父一把道：「師父！這娘子告誦你話，你怎麼佯佯不睬？好道也做個理會是。」,八戒:道:三藏
問道：「悟空，有甚話當面計較。你怎麼自家煩惱？這般樣個哭包臉，是虎諕我也？」,三藏:問道:行者
行者委的不知來歷，接過口來，就問他一句道：「你那葫蘆是那裏來的？」,行者:道:銀角
二人攜手相攙，概眾小妖隨後，上那花果山極巔之處。,眾猴 :隨:行者、八戒
行者道：「我怎麼著忙？」,行者:道:沙僧
話說那孫大聖頭痛難禁，哀告道：「師父，莫念！莫念！等我醫罷！」,行者:哀告道:三藏
玉帝聞言，即傳旨赦宥，差天將解放，送與菩薩。,玉帝:差:天將
師父道：「你要去尋母，可帶這血書與汗衫前去；只做化緣，徑往江州私衙，纔得你母親相見。」,長老:道:玄奘
行者道：「我曉得。」,行者:道:八戒
八戒道：「這是一眼井。你在寺裏，早說是井中有寶貝，我卻帶將兩條綑包袱的繩來，怎麼作個法兒，把老豬放下去；如今空手，這裏面東西，怎麼得下去上來耶？」,八戒:道:行者
行者道：「憑你怎麼處治了罷。如今且助我一功。那道士四聲令牌已畢，卻輪到老孫上去幹事了。——但我不會發符、燒檄、打甚令牌，你列位卻要助我行行。」,行者:道:龍王
三藏道：「徒弟，你不嫌殘舊，那件直裰兒，你就穿了罷。」,三藏:道:孫悟空
沙僧道：「哥啊，你生為師父，死也還在口裏。且甦醒，我們在這裏哩。」,沙僧:道:行者
三藏道：「我怎不知？」,三藏:道:孫悟空
他兩個鬭在一處，勝敗未分，早有佑聖真君，又差將佐發文到雷府，調三十六員雷將齊來，把大聖圍在垓心，各騁兇惡鏖戰。,王靈官:差:將佐
那獃子上前跪倒。,八戒:跪倒:三藏
八戒道：「兄弟再莫題起。不當人子了！從今後，再也不敢妄為。——就是累折骨頭，也只是摩肩壓擔，隨師父西域去也。」,八戒:道:沙僧
那怪那容分說，舉寶劍劈頭就砍。,金角:砍:行者
玄奘道：「我爹爹被強盜打死了，我娘被強盜霸佔為妻。」,玄奘:道:婆婆
老者道：「往西天大路，在那直北下。此間到那裏有千里之遙，還不去找大路而行？」,老者:道:行者
三藏道：「貧僧是東土大唐和尚，奉聖旨，上雷音寺拜佛求經。適至寶方天晚，意投檀府告借一宵，萬祈方便方便。」,三藏:道:老者
王母問道：「汝等摘了多少蟠桃？」,王母:道:七衣仙女
菩薩聞言，與木叉合掌皈依，道聲佛號，躬身上啟道：「既有德行，貧僧情願送他，決不要錢。」,菩薩、木叉:啟道:唐王
行者道：「不放麼？」,行者:道:道士
國王道：「是東土大唐差去西天取經的，來此倒換關文。」,國王:道:老道士
小妖道：「洞門外有一個長嘴大耳的和尚，與一個晦氣色的和尚，來叫門了！」,小妖:道:老妖
他兩個強打精神，勉生歡喜，從後園中徑來殿上，對唐僧控背躬身道：「師父，適間言語粗俗，多有沖撞，莫怪，莫怪。」,清風、明月:道:三藏
行者陪笑道：「師父莫罵我，都是豬八戒說馬行遲，故此著他快些。」,行者:笑道:長老
師父出得門來，問道：「你兩人怎生捉得妖精？如何方救得我？」,三藏:問道:行者、八戒
纔入門，只見那太上老君正坐在那丹房中，與眾仙童執芭蕉扇，搧火煉丹哩。,行者:見:太上老君
那怪聞言，不容分說，輪開一隻簸箕大小的藍靛手，抓住那金枝玉葉的髮萬根，把公主揪上前，捽在地下，執著鋼刀，卻來審沙僧；咄的一聲道：「沙和尚！你兩個輒敢擅打上我們門來，可是這女子有書到他那國，國王教你們來的？」,老妖:道:沙僧
妖魔道：「我在山路邊點化一座仙莊，你師父潛入裏面，心愛情慾，將我三領納錦綿裝背心兒偷穿在身，見有贓證，故此我纔拿他。你今果有手段，即與我比勢。假若三合敵得我，饒了你師父之命；如敵不過我，教你一路歸陰！」,魔王:道:行者
那婦人道：「不好！不好！我這裏有一方手帕，你頂在頭上，遮了臉，撞個天婚，教我女兒從你跟前走過，你伸開手扯著那個就把那個配了你罷。」,婦人:道:八戒
妖王問：「是那四日？」,妖王:問:行者
不一時，那玉清元始天尊、上清靈寶天尊、太清道德天尊、五炁真君、五斗星君、三官四聖、九曜真君、左輔、右弼、天王、哪吒，元虛一應靈通，對對旌旗，雙雙幡蓋，都捧著明珠異寶，壽果奇花，向佛前拜獻曰：「感如來無量法力，收伏妖猴。蒙大天尊設宴，呼喚我等皆來陳謝。請如來將此會立一名，如何？」,九曜真君:命:玉帝
旁閃魏徵，手扯龍衣，奏道：「陛下寬心，臣有一事，管保陛下長生。」,魏徵:奏道:唐王
那伯欽見孫行者一心收拾要行，卻轉身對三藏唱個喏道：「長老，你幸此間收得個好徒，甚喜，甚喜。此人果然去得。我卻告回。」,伯欽:道:三藏
三藏道：「貧僧那徒弟醜陋，不敢擅自入朝；但恐驚傷了陛下的龍體。」,三藏:道:國王
行者請師父下了馬，扶持左右。,孫悟空:請:三藏
太子跑在面前道：「母親，不敢說。今日早朝，蒙欽差架鷹逐犬，出城打獵，偶遇東土駕下來的個取經聖僧，有大徒弟乃孫行者，極善降妖。原來我父王死在御花園八角琉璃井內，這全真假變父王，侵了龍位。今夜三更，父王託夢，請他到城捉怪，孩兒不敢盡信，特來問母。母親纔說出這等言語，必然是個妖精。」,太子:道:娘娘
行者道：「那怪如今怯戰，不肯上崖，只在水裏潛踪，如何得他歸順？我師如何得渡弱水？」,行者:道:菩薩
行者道：「說得有理。我兄弟們都進去，人多纔好說話。」,行者:道:三藏
行者笑道：「八戒，造化！抬出鍋來，想是煮飯我們喫哩。」,行者:笑道:八戒
他遂綽了鋼刀，高叫道：「那豬八戒，你過來。我不是怕你，不與你戰；看著我渾家的分上，饒了你師父也。趁早去後門首，尋著他，往西方去罷。若再來犯我境界，斷乎不饒！」,老妖:高叫道:八戒
他又思量道：「認得就好說話了。」,八戒:道:行者
那長老滿眼下淚道：「似此艱難，怎生得渡！」,三藏:道:行者、八戒
那雷公、電母道：「奉承！奉承！」,雷公、電母:道:行者
那怪腰間取出金牌，在殿下叩頭納罪。,奎星:磕頭:玉帝
那上下房的院主，將本寺和尚、頭陀、幸童、道人盡行開具手本二張，大小人等，共計二百三十名。,上下房的院主:盡行開具:和尚、頭陀、幸童、道人
眾僧道：「老爺，你來羞我們哩！你老人家想是個外邊來的，不知我這裏利害。」,眾僧:道:行者
菩薩帶引木叉行者過了此山，又奔東土。,菩薩:帶引:木叉
此時幸有丁甲、揭諦、功曹、護教諸神，暗在半空中護佑，所以那些人，兵器皆不能打傷。,丁甲、揭諦、功曹、護教諸神:護佑:三藏
兜住韁，便罵行者道：「這潑猴多大憊𢤿！全無有一些兒善良之意，心心只是要撒潑行兇哩！我那般說叫喚的是個人聲，他就千言萬語，只嚷是妖怪！你看那樹上吊的不是個人麼？」,三藏:罵道:行者
眾僧道：「不是鬼，乃是六丁六甲、護教伽藍。但至夜，就來保護。但有要死的，就保著，不教他死。」,眾僧:道:行者
唐僧道：「尋甚人？」,三藏:道 :八戒
丞相道：「這和尚是我與你的外孫。女婿陳光蕊被賊謀死，滿堂嬌被賊強占為妻。」,丞相: 道:夫人
公主道：「和尚莫無禮。我那黃袍郎比眾不同。你若諕了我的孩兒，與他柳柳驚是。」,公主:道:行者
如來聞說，即對眾菩薩道：「汝等在此穩坐法堂，休得亂了禪位，待我煉魔救駕去來。」,如來佛祖:道:菩薩
道人說：「那扛子莫說打來，若倒下來，壓也壓個肉泥！」,道人:說:老和尚
二魔道：「你們不曾見他那條鐵棒，有萬夫不當之勇。我洞中不過有四五百兵，怎禁得他那一棒？」,銀角:道:小妖
那陳清只管磕頭相謝，又允送銀五百兩；惟陳澄也不磕頭，也不說謝，只是倚著那屏門痛哭。,老者:磕頭:行者
道人說：「師父，我也是嚇破膽的人了，憑你怎麼答應他罷。」,道人:道:僧官
行者道：「怎麼變麼？」,行者:道:太公
行者笑道：「抬起頭來我看。」,行者:笑道:八戒
三藏道：「令師何在？」,三藏:道:清風、明月
管家的小妖道：「洞中還有三件寶貝哩。」,小妖:道:金角
老君道：「你那猴子，五百年前大鬧天宮，把我靈丹偷喫無數，著小聖二郎捉拿上界，送在我丹爐煉了四十九日，炭也不知費了多少。你如今幸得脫身，皈依佛果，保唐僧往西天取經，前者在平頂山上降魔，弄刁難，不與我寶貝，今日又來做甚？」,太上老君:道:行者
都稱「千歲大王」。,眾猴:稱:石猴
漁翁道：「你山青不如我水秀，受用些好物。有一鷓鴣天為證：仙鄉雲水足生涯，擺櫓橫舟便是家。活剖鮮鱗烹綠鱉，旋蒸紫蟹煮紅蝦。青蘆笋，水荇芽，菱角雞頭更可誇。嬌藕老蓮芹葉嫩，慈菇菱白鳥英花。」,張稍:道:李定
判官道：「陛下，那叫做奈河橋。若到陽間，切須傳記。那橋下都是些：奔流浩浩之水，險峻窄窄之路。儼如疋練搭長江，卻似火坑浮上界。陰氣逼人寒透骨，腥風撲鼻味鑽心。波翻浪滾，往來並沒渡人船；赤腳蓬頭，出入盡皆作業鬼。橋長數里，闊只三㪥。高有百尺，深卻千重。上無扶手欄杆，下有搶人惡怪。枷杻纏身，打上奈河險路。你看那橋邊神將甚兇頑，河內孽魂真苦惱。枒杈樹上，掛的是青紅黃紫色絲衣；壁斗崖前，蹲的是毀罵公婆淫潑婦。銅蛇鐵狗任爭餐，永墮奈河無出路。」,崔玨:道:唐王 
那壽星將帽子摜了，罵道：「你這個夯貨，老大不知高低！」,壽星:罵道:八戒
行者道：「先一次，他還與老孫侮手，盤旋了幾合；後一次，是老孫叫罵，他再不出。因此使了一個翻江攪海的法兒，攪混了他澗水，他就攛將上來，還要爭持。不知老孫的棍重，他遮架不住，就變做一條水蛇，鑽在草裏。我趕來尋他，卻無踪跡。」,孫悟空:道:土地、山神
菩薩道：「全副都要。」,菩薩:道:惠岸
李天王即調四大天王與二十八宿，一路出師來鬭。,李天王:调:二十八宿
妖怪道：「他是唐朝來的僧人，往西天取經的和尚。」,鼉怪:道:太子
大眾道：「趁此良時，你試演演，讓我等看看。」,大眾:道:孫悟空
行者道：「這般弄嘴，便不馱罷！」,行者:道:八戒
那條龍張牙舞爪來抓。,龍:抓:孫悟空
行者道：「如何為左你？」,行者:道:八戒
八戒掀起耳朵來看看道：「我到了地頭了！」,八戒:道:行者
唐王急著蕭瑀扯住，欠身立於殿上，問曰：「你原說袈裟五千兩，錫杖二千兩，你見朕要買，就不要錢，敢是說朕心倚恃君位，強要你的物件？——更無此理。朕照你原價奉償，卻不可推避。」,唐王:問曰:菩薩
僧官道：「徒弟，這個爺爺好的喫葷。」,僧官:道:三藏
天王見了，問：「兒從何來？」,天王:問:木叉
行者陪笑道：「師父好不聰明。這等半山之中，前不巴村，後不著店，有錢也沒買處，教往那裏尋齋？」,行者:陪笑道:三藏
被他一把拿住，駕長風攝將去了。,猛虎:拿住:三藏
行者聞言，暗喜道：「這獃子乖了些也。——老公公，你是錯說了。怎麼叫做『預修亡齋』？」,行者:道:八戒
祖師道：「人家蓋房，欲圖堅固，將牆壁之間，立一頂柱，有日大廈將頹，他必朽矣。」,菩提祖師:道:孫悟空
悟空卻纔躬身答應道：「老孫便是。」,孫悟空:答應道:玉皇大帝
行者纔拉將起來，背在身上。,行者:背:銀角
行者斂祥光，還變作蟭蟟蟲，釘在唐僧頭上道：「師父放心，等我去看看來。」,行者:道:三藏
悟空道：「真個沒有，就和你試試此鐵！」,孫悟空:道:東海龍王
那老兒有幾分害怕，叫高才道：「你這小廝卻不弄殺我也？家裏現有一個醜頭怪腦的女婿打發不開，怎麼又引這個雷公來害我？」,太公:道:高才
這大聖纔按落雲頭，闖入蓮花洞裏，解下唐僧與八戒、沙和尚來。,行者:解下:三藏、八戒、沙僧
眾妖領命，一個個擦掌摩拳准備。,小怪:領命:黑魚精
只見那小仙報道：「師父，油鍋滾透了。」,小仙:報道:鎮元大仙
龍曰：「願求指教。」,龍王:曰:袁守誠
便就使個神通，往四下裏吸了四口氣，吹在行者背上，便覺重有千斤。,妖精:吹:行者
菩薩道：「此山叫做甚麼山？」,菩薩:道:妖魔
銀角道：「我們要喫人，那裏不撈幾個。這和尚到得那裏，讓他去罷。」,銀角:道:金角
八戒道：「哥哥，莫耍弄我。我沒這個手段。」,八戒:道:行者
行者聞言，低頭唱喏道：「願求些兒，點試，點試。」,行者:道:老者
時有宰相蕭瑀，出班俯顖奏曰：「佛法興自屢朝，弘善遏惡，冥助國家，理無廢棄。佛，聖人也。非聖者無法，請寘嚴刑。」,蕭瑀:奏曰:唐王
雙膝跪在塵埃道：「記得昨夜鬼魂拜謁，怎知道今朝天曉返陽神！」,皇帝:跪:三藏
諕得個長老戰戰兢兢，口中作念道：「這猴著然無禮！屢勸不從，無故傷人性命！」,三藏:念道:行者
大仙道：「孫行者到蓬萊去的？」,鎮元大仙:道:祿星
八戒依言，徑轉東岸。,八戒:依言:沙僧
行者上前道：「陛下，小和尚會砍頭。」,行者:道:國王
行者道：「老兒，莫說哈話。我們出家人，不走回頭路。」,行者:道:老者
行者道：「你把釘鈀與我拿著。」,行者:道:怪
倚海龍用手指道：「烏林子裏就是。」,倚海龍:道:行者
小妖伸手摸著道：「只見說話，更不見面目。師父，此間是甚麼去處？」,精細鬼、伶俐蟲:道:行者
當有觀音菩薩，行近蓮臺，禮佛三匝道：「弟子不才，願上東土尋一個取經人來也。」,觀音菩薩:禮佛三匝道:如來佛祖
李定道：「你的水秀，不如我的山青。也有個蝶戀花詞為證。詞曰：雲林一段松花滿，默聽鶯啼，巧舌如調管。紅瘦綠肥春正暖，倐然夏至光陰轉。又值秋來容易換，黃花香，堪供玩。迅速嚴冬如指撚，逍遙四季無人管。」,李定:道:張稍
話說那國王見孫行者有呼龍使聖之法，即將關文用了寶印，便要遞與唐僧，放行西路。,國王:放行:三藏
道：「師父，起來看邪。」,八戒:道:三藏
龍王道：「煩上仙再轉一海，或者有之。」,東海龍王:道:孫悟空
判官道：「陛下到陽間，千萬做個『水陸大會』，超度那無主的冤魂，切勿忘了。若是陰司裏無報怨之聲，陽世間方得享太平之慶。凡百不善之處，俱可一一改過。普諭世人為善，管教你後代綿長，江山永固。」,崔玨:道:唐王
他見三藏只管緒緒叨叨，按不住心頭火發道：「你既是這等：說我做不得和尚，上不得西天，不必恁般絮咶惡我，我回去便了！」,孫悟空:心頭火發道:三藏
急回頭，跳將出去，到門外現了原身，叫：「八戒！」,行者:叫:八戒
老者道：「有人，有人。」,老者:道:八戒
祖師道：「術字門中，乃是些請仙扶鸞，問卜揲蓍，能知趨吉避凶之理。」,菩提祖師:道:孫悟空
八戒笑道：「你纔子發昏的，若不是老豬救你啊，已此了帳了，還不謝我哩！」,八戒:笑道:行者
那怪聞得說打，呵呵大笑道：「孫行者，你差了計較了！你既說要打，不該跟我進來。我這裏大小群妖，還有百十。饒你滿身是手，也打不出我的門去。」,老妖:大笑道:行者
行者道：「似這般卻也無法可治。你兩個只在河岸上巡視著，不可放他往別處走了，待我去來。」,行者:道:沙僧
猴王撲的跳下樹來，上前躬身道：「仙童，我是個訪道學仙之弟子，更不敢在此搔擾。」,美猴王:躬身道:仙童
國王大喜道：「有甚書？」,國王:大喜道:三藏
禪師道：「因少識耳。」,禪師:道:行者
這真君領著四太尉、二將軍，連本身七兄弟，出營挑戰：分付眾將，緊守營盤，收全了鷹犬。,二郎真君:領:四太尉
三藏近前攙住，叫道：「老施主，休怕。他是我貧僧的徒弟，不是鬼怪。」,三藏:叫道:老者
三藏見他發怒，只得者者謙謙，叫道：「悟空，你在這裏罷。」,三藏:叫道:行者
行者道：「我也硬不多兒，只戰個手平。」,孫悟空:道:三藏
行者看道：「妙啊！妙啊！還是妖精菩薩，還是菩薩妖精？」,孫悟空:道:菩薩
那菩薩情知，怪道：「你這潑猴，不知好歹！他那人參果樹，乃天開地闢的靈根；鎮元子乃地仙之祖，我也讓他三分；你怎麼就打傷他樹！」,菩薩:怪道:行者
行者接了水，口中吐出丹來，安在那皇帝唇裏；兩手扳開牙齒，用一口清水，把金丹沖灌下肚。,行者:扳開牙齒:皇帝
行者道：「師父差了。你自幼出家，做了和尚，小時的經文，那本不熟？卻又領了唐王旨意，上西天見佛，求取『大乘真典』。如今功未完成，佛未得見，經未曾取，你念的是那卷經兒？」,行者:道:三藏
這大聖觀看不盡，拽開步徑至門前，厲聲高叫道：「那小妖，你快進去與你那洞主說，我本是唐朝聖僧徒弟齊天大聖孫悟空。快教他送我師父出來，免教你等喪了性命！」,行者:高叫道:小妖
鬼王道：「久聞大王招賢，無由得見；今見大王授了天籙，得意榮歸，特獻赭黃袍一件，與大王稱慶。肯不棄鄙賤，收納小人，亦得效犬馬之勞。」,鬼王:道:孫悟空
金星道：「老漢以此銜奏准，方敢領旨而來；如有不遂，只坐罪老漢便是。」,太白金星:道:孫悟空
菩薩道：「那猴頭，專倚自強，那肯稱讚別人？今番前去，還有歸順的哩。若問時，先提起『取經』的字來，卻也不用勞心，自然拱伏。」,菩薩:道:龍
大聖也收了法象，現出原身近前，怒氣昂昂，厲聲高叫道：「你是那方善士，敢來止住刀兵問我？」,孫悟空:高叫道:如來佛祖
三藏問道：「悟空，你去這一夜，拿得妖精在那裏？」,三藏:問道:行者
行者道：「那個的兒子麼？」,行者:道:老者
行者在旁暗笑道：「這菩薩省使儉用。那蓮花池裏有五色寶蓮臺，捨不得坐將來，卻又問別人去借。」,行者:道:行者
行者道：「這個師父好不知時務！這個曠野山中，船從何來？這匹馬，他在此久住，必知水勢，就騎著他做個船兒過去罷。」,孫悟空:道:三藏
行者道：「老孫變化，也只為你們。你怎麼倒走了風息？這一洞裏妖精，都認不得，怎的偏你認得？」,行者:道:八戒
行者道：「你只看著我。剗著喫我時，你就走了罷。」,行者:道:八戒
老者道：「你已替祭，沒了你也。」,老者:道:行者
童子道：「我師臨行，曾吩咐教弟子遠接。不期車駕來促，有失迎迓。老師請坐，待弟子辦茶來奉。」,清風、明月:道:三藏
國王對鹿力說：「這事不與寡人相干，是你要與他做對頭的。請去，請去。」,國王:說:鹿力大仙
銀角道：「有半個月了。」,銀角:道:金角
三藏聞言，滿心歡喜道：「你雖有此善心，又蒙菩薩教誨，願入沙門，只是我又沒斧鑿，如何救得你出？」,三藏:道:孫悟空
宰相勒馬觀看，見袈裟豔豔生光，著手下人問那賣袈裟的要價幾何，菩薩道：「袈裟要五千兩，錫杖要二千兩。」,菩薩:道:蕭瑀
老者道：「伏侍你四位。」,老者:道:八戒
行者道：「你府上幾位令郎？」,行者:道:老者
唐僧馬上欣然道：「徒弟啊，這一日又饑又寒，幸得那山凹裏有樓臺房舍，斷乎是莊戶人家，菴觀寺院；且去化些齋飯，喫了再走。」,三藏:道:行者
八戒迎著道：「哥哥，寶劍你得了，精怪何在？」,八戒:道:行者
八戒使釘鈀架住道：「你這潑物，原來也是半路上成精的邪魔！」,八戒:道:怪物
八戒道：「且不說辛苦，只是降了妖精，送得你過河，方是萬全之策。」,八戒:道:三藏
丞相道：「此非我兒以盛衰改節，皆因出乎不得已；何得為恥！」,殷丞相:道:殷小姐
先生道：「明日辰時布雲，巳時發雷，午時下雨，未時雨足，共得水三尺三寸零四十八點。」,先生:道:龍王
三藏道：「只怕長短不一，你若穿得，就穿了罷。」,三藏:道:孫悟空
行者道：「既如此，你領他去罷。多多拜上令尊，尚容面謝。」,行者:道:摩昂
沙僧道：「渾身都冷了，就有一點兒熱氣，怎的就得回生？」,沙僧:道:八戒
祖師道：「教你『動』字門中之道，如何？」,菩提祖師:道:孫悟空
行者道：「不敢，倒是一個計較。」,孫悟空:道:菩薩
二怪領命疾走，怎知那行者在旁，一一聽得明白。,巴山虎、倚海龍:領命:金角、銀角
妖怪道：「這表兄卻也狂妄：想是舅爺不得來，命他來赴宴；既是赴宴，如何又領兵勞士？——咳！但恐其間有故。」,黑魚精:道:小怪
那揭諦按落雲頭，不經由三藏，直至澗邊，對行者道：「菩薩來也。」,揭諦:道:孫悟空
八戒道：「你兒子便胡說！你不看見孫行者那裏哭將來了？他是個鑽天入地，斧砍火燒，下油鍋都不怕的好漢；如今戴了個愁帽，淚汪汪的哭來，必是那山險峻，妖怪兇狠。似我們這樣軟弱的人兒，怎麼去得？」,八戒:道:三藏
諸天道：「少停，容通報。」,諸天:道:行者
行者道：「你這裝人的，何足稀罕？我這葫蘆，連天都裝在裏面哩！」,行者:道:伶俐蟲
行者道：「獃子，前夜試水，能去拋石；如今冰凍重漫，怎生試得？」,行者:道:八戒
三藏道：「既如此，伏侍我上馬去也。」,三藏:道:孫悟空
崩、巴二將道：「大聖在天宮，喫了仙酒、仙殽，是以椰酒不甚美口。常言道：『美不美，鄉中水。』」,崩、巴二將:道:孫悟空
那大聖徑至殺場裏面，被劊子手撾住了，綑做一團。,劊子手:撾住:行者
三藏道：「女菩薩，你在家人享榮華，受富貴，有可穿，有可喫，兒女團圓，果然是好；但不知我出家的人，也有一段好處。怎見得？有詩為證：出家立志本非常，推倒從前恩愛堂。外物不生閑口舌，身中自有好陰陽。功完行滿朝金闕，見性明心返故鄉。勝似在家貪血食，老來墜落臭皮囊。」,三藏:道:婦人
那妖見沙僧說得雄壯，遂丟了刀，雙手抱起公主道：「我一時粗鹵，多有沖撞，莫怪，莫怪。」,老妖:抱起道:公主
行者見了，用手招呼道：「那老漁，你來，你來。我是東土取經去的。我師父到此難過，你來渡他一渡。」,孫悟空:招呼道:漁翁
那小妖不知好歹，圍住行者，分其乾糧，被行者掣出棒，著頭一磨，一個搪著的，打得稀爛；一個擦著的，不死還哼。,行者:打:轎夫
又奏道：「貧僧一來倒換文牒，二來與陛下寄有家書。」,三藏:奏道:國王
行者道：「師父錯怪了我也。這廝分明是個妖魔，他實有心害你。我倒打死他，替你除了害，你卻不認得，反信了那獃子讒言冷語，屢次逐我。常言道：『事不過三。』我若不去，真是個下流無恥之徒。我去！我去！——去便去了，只是你手下無人。」,行者:道:三藏
僧官怒聲叫道：「你這遊方的和尚，便是有些油嘴油舌的說話！」,僧官:叫道:三藏
妖王道：「父王把我八個字時常不離口論說，說我有同天不老之壽，怎麼今日一旦忘了！豈有此理！必是假的！」,妖王:道:行者
八戒聞言道：「真個有這樣事？」,八戒:道:小龍王
那人道：「他明早出朝來也。」,皇帝:道:三藏
三藏復問道：「老施主，始初說西天經難取者，何也？」,三藏:問道:老者
三藏道：「貧僧乃東土大唐差往西天取經者。路過此間，權為一歇。」,三藏:道:鎮元大仙
須臾回報道：「臣奉旨觀聽金光之處，乃東勝神洲海東傲來小國之界，有一座花果山，山上有一仙石，石產一卵，見風化一石猴，在那裏拜四方，眼運金光，射沖斗府。如今服餌水食，金光將潛息矣。」,千里眼、順風耳:回報:玉皇大帝
多虧了正直的徐茂功，理烈的魏丞相，有膽量的秦瓊，忒猛撞的敬德，上前來扶著棺材，叫道：「陛下有甚麼放不下心處，說與我等，不要弄鬼，驚駭了眷族。」,徐茂功、魏徵、秦瓊、敬德:叫道:唐王
三藏道：「只因你沒收沒管，暴橫人間，欺天誑上，纔受這五百年前之難。今既入了沙門，若是還像當時行兇，一味傷生，去不得西天，做不得和尚！忒惡！忒惡！」,三藏:道:孫悟空
這猴王厲聲高叫道：「小的們！老孫來了！」,孫悟空:高叫道:各洞妖王
那條漢到邊前，放下鋼叉，用手攙起道：「長老休怕。我不是歹人，我是這山中的獵戶，姓劉名伯欽，綽號鎮山太保。我纔自來，要尋兩隻山蟲食用，不期遇著你，多有沖撞。」,伯欽:用手攙起道:三藏
眾仙卿叫聲「謝恩！」,仙卿們:叫聲:玉皇大帝
行者慌了道：「師父，莫念！莫念！管尋還你袈裟就是了。等我去拿來走路。」,孫悟空:慌了道:三藏
玉帝傳旨道：「就除他做個『弼馬溫』罷。」,玉皇大帝:傳旨道:眾臣
忽被祖師看見，叫孫悟空道：「你在班中，怎麼顛狂躍舞，不聽我講？」,菩提祖師:道:孫悟空
怪物道：「叫做福陵山。山中有一洞，叫做雲棧洞。洞裏原有個卵二姐。他見我有些武藝，招我做個家長，又喚做『倒蹅門』。不上一年，他死了，將一洞的家當，盡歸我受用。在此日久年深，沒有個贍身的勾當，只是依本等喫人度日。萬望菩薩恕罪。」,妖魔:道:菩薩
這行者舉起棒望唐僧就打。,行者:打:三藏
行者道：「行君臣禮，就要下拜哩。」,行者:道:三藏
八戒笑得打跌道：「公公忒沒眼力！我們是扯謊架橋，哄人的大王，你怎麼把這謊話哄我！和尚家豈不知齋事？只有個『預修寄庫齋』、『預修填還齋』，那裏有個『預修亡齋』的？你家人又不曾有死的，做甚亡齋？」,八戒:笑道:老者
行者道：「他是妖精。」,行者:道:三藏
行者大喜道：「來得好！來得好！」,行者:大喜道:皇帝
祖師道：「此乃非常之道：奪天地之造化，侵日月之玄機；丹成之後，鬼神難容。雖駐顏益壽，但到了五百年後，天降雷災打你，須要見性明心，預先躲避。躲得過，壽與天齊；躲不過，就此絕命。再五百年後，天降火災燒你。這火不是天火，亦不是凡火，喚做『陰火』。自本身湧泉穴下燒起，直透泥垣宮，五臟成灰，四肢皆朽，把千年苦行，俱為虛幻。再五百年，又降風災吹你。這風不是東南西北風，不是和薰金朔風，亦不是花柳松竹風，喚做『贔風』。自顖門中吹入六腑，過丹田，穿九竅，骨肉消疏，其身自解。所以都要躲過。」,菩提祖師:道:孫悟空
龍王見了，魂飛魄散，慌忙跪下，叩頭道：「大聖恕罪！那廝是舍妹第九個兒子。因妹夫錯行了風雨，刻減了雨數，被天曹降旨，著人曹官魏徵丞相，夢裏斬了。舍妹無處安身，是小龍帶他到此，恩養成人。前年不幸，舍妹疾故，惟他無方居住，我著他在黑水河養性修真。不期他作此惡孽，小龍即差人去擒他來也。」,龍王:叩頭道:行者
捻著訣，念一聲「唵藍淨法界」的真言，拘得那山神、土地在半空中施禮道：「大聖，呼喚小神，有何使令？」,山神、土地:施禮道:行者
銀角道：「若是喫了他肉就可以延壽長生，我們打甚麼坐，立甚麼功，煉甚麼龍與虎，配甚麼雌與雄？只該喫他去了。等我去拿他來。」,銀角:道:金角
菩薩道：「在大西天天竺國大雷音寺我佛如來處，能解百冤之結，能消無妄之災。」,菩薩:道:唐王
菩薩不敢久停，曰：「今領如來法旨，上東土尋取經人去。」,菩薩:曰:金頂大仙
尉遲公道：「陛下說，借你的東西，有崔判官作保可證。你收下罷。」,尉遲公:道:相良
行者道：「你可知古人云：『人沒傷虎心，虎沒傷人意。』他不弄火，我怎肯弄風？」,孫悟空:道:三藏
菩薩道：「孽畜！你如今可皈依麼？」,菩薩:道:黑漢
祖師道：「『世上無難事，只怕有心人。』」,菩提祖師:道:孫悟空
