,s,summary,res
648,即將腰間的獅蠻帶解下，遞與行者。,金角扯行者,"行者遞與孫悟空、三藏、八戒、沙僧、馬、鱖將腰間的獅蠻帶僮
"
649,大聖道：「老道不知。玉帝因老孫觔斗雲疾，著老孫五路邀請列位，先至通明殿下演禮，後方去赴宴。」,孫悟空道赤腳大仙,"孫悟空道四健將軍、東海龍王、雲童子、佈霧郎、魏徵丞相、長老
"
650,三藏在馬上，遙聞唿喇喇水聲聒耳，回頭叫：「悟空，是那裏水響？」,三藏叫孫悟空,"三藏叫行者、八戒、沙僧、馬、長老、鹿力大仙、仙童、鿊天府仙吏
"
651,慌得那七仙女一齊跪下道：「大聖息怒。我等不是妖怪，乃王母娘娘差來的七衣仙女，摘取仙桃，大開寶閣，做『蟠桃勝會』。適至此間，先見了本園土地等神，尋大聖不見。我等恐遲了王母懿旨，是以等不得大聖，故先在此摘桃，萬望恕罪。」,七衣仙女跪下道孫悟空,"七仙女跪下道行者、八戒、沙僧、馬、鯉太子、齊天府仙吏、問道士
"
652,又被劊子手一腳踢了去，好似滾西瓜一般，滾有三四十步遠近。,劊子手踢行者,"劊子手瓜述三藏、行者、 八戒、沙僧、馬、鱖少卿、齊天府仙吏
"
653,三藏矁了他一眼道：「謹言！莫要不識高低，沖撞人。」,三藏道孫悟空,"三藏矁道菩薩、木叉、善財童子、捧珠龍女道行者、謀角、長老
"
654,菩薩道：「我記得。」,菩薩道唐王,"菩薩道行者、八戒、沙僧、馬、黑魚精細鬼、齊天府仙吏道金頂大仙
"
655,行者聞言，笑道：「你妹妹有幾個妹丈？」,行者道龍王,"行者笑道八戒、沙僧、三藏、馬、魅、鹿力大仙、長老、鯉太子
"
656,公主道：「我怎的捨不得他？其稽留於此者，不得已耳！」,公主道行者,"公主道行者、八戒、沙僧、馬、鱖小姐、酧天君、雷公、電母、鯉太宰
"
657,行者整一整直裰，束一束虎裙，掣了棒，撞至門前，只見那門上有六個大字，乃「黃風嶺黃風洞」，卻便丁字腳站定，執著棒，高叫道：「妖怪！趁早兒送我師父出來，省得掀翻了你窩巢，躧平了你住處！」,行者高叫道妖怪,"孫悟空整一束虎裙，掣了棒門上有六個大字乃如來佛祖
"
658,行者道：「且尋師父去。」,行者道八戒,"行者道三藏、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母、長老
"
659,行者就叫：「頭疼！頭疼！莫念！莫念！有話便說。」,行者叫三藏,"行者叫道士、八戒、沙僧、頭、酦、鎮元大仙、長老、鯉財童子、佈霧郎
"
660,猴王道：「不勞師父盛意，我原有個法名，叫做孫悟空。」,孫悟空道三藏,"美猴王道菩提祖師、 八戒、沙僧、馬、長老禮道孫悟空
"
661,判官道：「陛下，那些人都是那六十四處煙塵，七十二處草寇，眾王子、眾頭目的鬼魂；盡是枉死的冤業，無收無管，不得超生，又無錢鈔盤纏，都是孤寒餓鬼。陛下得些錢鈔與他，我纔救得哩。」,崔玨道唐王,"崔玨道唐王 、文武仙卿、徐茂功、巴山大神、木叉行者、善財童子、捧珠龍女
"
662,行者陪笑道：「師父莫罵我，都是豬八戒說馬行遲，故此著他快些。」,行者笑道長老,"行者陪笑道三藏、八戒、沙僧、馬、鱖婆、雷公、電母、鹿力大仙
"
663,大仙道：「唐三藏做大不尊，先打他。」,鎮元大仙道小仙,"鎮元大仙道行者、八戒、沙僧、馬、長老、鿊天府仙吏、鱖小姐、鰣軍
"
664,菩薩道：「你可入我門麼？」,菩薩道妖王,"菩薩道行者、八戒、沙僧、馬、魅、鯉、張道士、齊天府仙吏
"
665,閻王道：「陛下寬心勿慮，還有二十年陽壽。此一來已是對案明白，請返本還陽。」,十代閻王道唐王 ,"閻王道三藏、行者、八戒、沙僧、陀臣、鱖少卿、阿羊力大仙
"
666,老和尚走出來，看見行者，就拜道：「爺爺！你來了？」,老和尚道行者,"老和尚拜道行者、八戒、沙僧、馬、魅風、長老、鯿力大仙
"
667,行者睜開眼道：「兄弟們在這裏？老孫喫了虧也！」,行者道八戒、沙僧,"行者道八戒、沙僧、三藏、摩昂、馬、魏徵、長老、鯉英宮主
"
668,悟空道：「好！好！好！」,孫悟空道三藏,"孫悟空道菩提祖師、徒弟，道美猴王、瓊山大神、伶俐蟲
"
669,唐僧道：「我是個好和尚，不題你這歹人的名字。你回去罷。」,三藏道行者,"三藏道行者、八戒、沙僧、馬、長老、鄧天君、鯉太子、雷公、電母
"
670,馬、流道：「看待來耶。」,馬、流道行者,"馬、流道三藏、行者、 八戒、沙僧、長老、鯉太子、鱖少年、尉道老君
"
671,八戒見了道：「果是狂瀾，無舟可渡。」,八戒道三藏,"八戒道行者、沙僧、三藏、馬、鱖婆、鯉太公、 八大仙、道國王
"
672,那酒肉和尚恰被玄奘難倒，和尚大怒，罵道：「你這業畜，姓名也不知，父母也不識，還在此搗甚麼鬼！」,酒肉和尚罵道玄奘,"酒肉和尚罵道紅孩兒、八戒、沙僧、鱖婆、長老翊磕頂大怒
"
673,八戒道：「我就不去了？」,八戒道行者,"八戒道行者、沙僧、三藏、馬、鱖婆、鯉太子、 八大神、無邊菩提祖師
"
674,那怪物又叫聲「者行孫」。,銀角叫行者,"怪物叫行者、八戒、沙僧、黑魚精、馬、鱖少年、鯉太子、齊天府仙吏
"
675,佛祖道：「你除了長生變化之法，再有何能，敢占天宮勝境？」,如來佛祖道孫悟空,"如來佛祖道孫悟空、秦瓊菩薩、張氏道陀角、道士、福星
"
676,妖魔道：「我在山路邊點化一座仙莊，你師父潛入裏面，心愛情慾，將我三領納錦綿裝背心兒偷穿在身，見有贓證，故此我纔拿他。你今果有手段，即與我比勢。假若三合敵得我，饒了你師父之命；如敵不過我，教你一路歸陰！」,魔王道行者,"妖魔道行者、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母、長老
"
677,徵領旨，當夜結束整齊，提著那誅龍的寶劍，侍立在後宰門前，真個的好英雄也！,魏徵領旨唐王,"徵領旨唐王、文武母、玉皇大帝、徐茂功、巴山大神、木叉行者、善財童在後少年
"
678,老者似信不信的，扶著唐僧慢走。,老者扶著三藏,"老者扶著三藏、行者、八戒、沙僧、馬、鹿力大仙、長老君、鯉太子
"
679,唐僧見他言言語語，越發惱怒，滾鞍下馬來，叫沙僧包袱內取出紙筆，即於澗下取水，石上磨墨，寫了一紙貶書，遞於行者道：「猴頭！執此為照！再不要你做徒弟了！如再與你相見，我就墮了阿鼻地獄！」,三藏道行者,"三藏叫沙僧、八戒、漢翊越發惱怒，滾鞍下馬來孫悟空
"
680,那大仙指定笑道：「我把你這個潑猴！你瞞誰哩？你倒在我觀裏，把我人參果樹打倒，你連夜走在此間，還不招認，遮飾甚麼！不要走！趁早去還我樹來！」,鎮元大仙笑道行者,"鎮元大仙笑道行者、 八戒、沙僧、馬、鱖少年、齊天府仙吏
"
681,行者笑道：「也罷，你是去得。若見了菩薩，切休仰視，只可低頭禮拜。等他問時，你卻將地名、妖名說與他，再請救師父之事。他若肯來，定取擒了怪物。」,行者笑道八戒,"孫悟空笑道三藏、行者、 八戒、沙僧、頭、馬、魅臣、長老
"
682,行者道：「兄弟，你說的也是。奈何師父不聽人說。我老孫火眼金睛，認得好歹。纔然這風，是那樹上吊的孩兒弄的。我認得他是個妖精，你們不識，那師父也不識，認作是好人家兒女，教我馱著他走。是老孫算計要擺佈他，他就弄個重身法壓我。是我將他摜得粉碎，他想是又使解屍之法，弄陣旋風，把我師父攝去也。因此上怪他每每不聽我說，故我意懶心灰，說各人散了。既是賢弟有此誠意，教老孫進退兩難。——八戒，你端的要怎的處？」,行者道沙僧,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯿星、酧天君、雷兒
"
683,那怪道：「你不知道。那鬧天宮的弼馬溫，有些本事，只恐我弄他不過，低了名頭，不像模樣。」,怪道行者,"怪物道大小眷族、木叉行者、善財童子、 八戒、沙僧、馬、長老
"
684,漁翁道：「這都是我兩個生意，贍身的勾當，你卻沒有我閑時節的好處。有詩為證。詩曰：閑看蒼天白鶴飛，停舟溪畔掩蒼扉。倚篷教子搓釣線，罷棹同妻晒網圍。性定果然知浪靜，身安自是覺風微。綠簑青笠隨時著，勝掛朝中紫綬衣。」,張稍道李定,"孫悟空道菩提祖師、 八戒、沙僧、馬、鹿力大仙、長老
"
685,三藏道：「悟空，若是去請菩薩，卻也不必遲疑，快去快來。」,三藏道八戒,"三藏道行者、八戒、悟空、拽皇大帝、幸童、道士、流、佈霧郎君、鿊角
"
686,太宗問曰：「你是何人？因甚事前來接拜？」,唐王 問曰崔玨,"唐王問曰崔玨、倚海龍、 八戒、沙僧、鱖婆、魚精、長老
"
687,只見那行者自南山頂上，摘了幾個桃子，托著缽盂，一觔斗，點將回來；睜火眼金睛觀看，認得那女子是個妖精，放下缽盂，掣鐵棒，當頭就打。,行者打妖精,"孫悟空認得女子、沙僧、六個人托著缽盂、點將回來紅孩兒
"
688,真個那獃子下了山，不上三四里路，回頭指著行者，口裏罵道：「這個猴子，不做和尚，倒做妖怪！這個猢猻！我好意來請他，他卻不去！——你不去便罷！」,八戒罵行者,"八戒、沙僧罵道行者、洞妖精、鱖婆、鯉太子、齊天府仙吏、佈霧郎
"
689,那怪喝道：「是甚人在此打我門哩？」,鼉龍喝道沙僧,"怪物喝道八戒、沙僧、鱖婆、黑魚精、齊天府仙吏道銀角
"
690,明月道：「正是，正是，好歹喫了飯兒開門。」,明月道八戒,"明月道行者、八戒、沙僧、三藏、馬、魏星、鹿力大仙、鯉太官
"
691,三藏道：「不敢，弟子便是。」,三藏道僧官,"三藏道行者、八戒、悟淨、沙僧、配、馬、鄧天君、雷公、電母
"
692,那菩薩早已看見行者來到，即命守山大神去迎。,菩薩命守山大神,"菩薩命守山大神、木叉行者、善財童子、捧珠龍女、佈鰣軍君、鯉帰
"
693,說不了，只聽得那魔王開口問道：「那和尚是那方來的？」,魔王問道行者、八戒、沙僧,"魔王問道行者、八戒、沙僧、馬、鱖少年、鯉太子、酧天君、雷公、電母
"
694,悟空道：「多蒙師父海恩，弟子功果完備，已能霞舉飛昇也。」,孫悟空道菩提祖師,"孫悟空道東海龍王、蕭瑀、弟子功果蒙三藏、行者、 八戒、沙僧
"
695,那老者道：「這是個撞頭的和尚！」,老者道行者,"老者道三藏、行者、八戒、沙僧、馬、鄧天君、雷公、電母、長老君
"
696,八戒道：「我不知。」,八戒道小龍王,"八戒道行者、沙僧、三藏、馬、鱖婆、鯉太宰、酧天君、雷公、電母
"
697,又與八戒、行者、沙僧拜見了，方纔按座。,皇帝拜見沙僧,"八戒、沙僧拜見行者、按座孫悟空、源與猛虎、毫毛、翊菩薩
"
698,那獃子脫下青錦布直裰，取過衫兒，就穿在身上；還未曾繫上帶子，撲的一蹻，跌倒在地。,八戒取過婦人,"八戒、沙僧穿三藏、行者、摩昂、馬、流、奔、巴、鯉、齊天府仙吏道孫悟空
"
699,那二聖得了旨，徑到靈山勝境，雷音寶剎之前，對四金剛、八菩薩禮畢，即煩轉送。,王靈官、翊聖真君禮畢四金剛、八菩薩,"王靈官、翊聖真君禮畢四金剛、八菩薩、即煩、��送孫悟空
"
700,三藏道：「不當人子，莫說這空頭話！快起來，莫悞了走路。」,三藏道孫悟空,"三藏道孫悟空、八戒、沙僧、馬、鹿力大仙、長老、鯉太子
"
701,八戒道：「曉得！曉得！你只管快快前去！老豬學得個烏龜法，得縮頭時且縮頭。」,八戒道行者,"八戒道曜個勾死人、勾孫悟空、瓊菩提祖師、煊薩、翊蕊
"
702,行者道：「我也有個葫蘆兒。」,行者道銀角,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太子、 道和尚
"
703,精細鬼道：「我們相應便宜的多哩，他敢去得成？拿過葫蘆來，等我裝裝天，也試演試演看。」,精細鬼道伶俐蟲,"精細鬼道伶俐蟲、徒弟，磕頂水道士、張氏道行者、馬、魅、蕭瑀
"
704,李天王與哪吒叩頭謝辭，徑至本宮，點起三軍，帥眾頭目，著巨靈神為先鋒，魚肚將掠後，藥叉將催兵。,托塔天王、哪吒叩頭謝辭玉皇大帝,"李天王、哪吒叩頭謝辭孫悟空、秦瓊魚肚將掠後、藥叉
"
705,那道士迎著道：「先生，那一位是令親？」,道士道行者,"道士道行者、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母、鯉太宰
"
706,三藏聞得道：「徒弟啊，救我耶！」,三藏道行者,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、酧天君、鿊聖真君
"
707,僧官道：「既往西天取經，怎麼路也不會走？」,僧官道三藏,"僧官道三藏、行者、 八戒、悟淨、馬、麼路諸天與官倚海龍
"
708,菩薩起手道：「貧僧有願在前，原說果有敬重三寶，見善隨善，皈依我佛，不要錢，願送與他。今見陛下明德止善，敬我佛門，況又高僧有德有行，宣揚大法，理當奉上，決不要錢。貧僧願留下此物告回。」,菩薩道唐王,"菩薩起手道行者、八戒、沙僧、願母、酧天君、铭蕊、長老
"
709,行者笑道：「關文小可，也請二國師剖剖剜剜，何如？」,行者笑道國王,"孫悟空笑道三藏、行者、 八戒、沙僧、馬、長老、鹿力大仙
"
710,即變作一件破爛流丟一口鐘；臨行又撒上一泡臊溺，卻還從板縫裏鑽出來，飛在唐僧耳朵上道：「師父，你只猜是破爛流丟一口鐘。」,行者道三藏,"孫悟空道三藏、行者、八戒、沙僧、鑽，飛在唐道士、鹿力大仙
"
711,拜訖，李天王道：「孩兒，你自那廂來者？」,李天王道行者,"李天王道二十四路諸天與守山大神、木叉行者、善財童子、捧珠龍女
"
712,八戒發起狠來，捨死的相迎。,八戒捨死相迎銀角,"八戒相迎行者、沙僧、三藏、馬、鹿力大仙、铨、長老、鿊聖真君
"
713,行者道：「可是做天師的張道齡麼？」,行者道妖王,"行者道三藏、八戒、沙僧、齊天府仙吏、酧天師、雷公、電母、鍧珠龍女
"
714,鄧天君道：「大聖吩咐，誰敢不從！但只是得一個號令，方敢依令而行；不然，雷雨亂了，顯得大聖無款也。」,鄧天君道行者,"鄧天君道行者、八戒、沙僧、鱖婆、鯉太宰、齊天府仙吏道孫悟空
"
715,三藏下馬道：「徒弟啊，我們就此進朝倒換關文，省得又攏那個衙門費事。」,三藏道行者、八戒、沙僧,"三藏道行者、八戒、沙僧、馬、鬼、魅、弟啊、鹿力大仙、長老
"
716,三藏叫聲「徒弟，且都來。」,三藏叫道行者、沙僧、八戒,"三藏叫行者、八戒、悟淨、沙僧、馬、長老禮道老者、酧天君、道士、鿊天府仙吏
"
717,行者道：「不妨！不妨！有了老孫與我這師弟，任他是甚麼妖怪，不敢惹我。」,行者道老者,"行者道沙僧 、八戒、馬、流、奔、巴、齊天府仙吏、酧太子、鱖小姐
"
718,太子道：「原來是你不知！他還有一個大徒弟，是五百年前大鬧天宮上方太乙金仙齊天大聖；如今保護唐僧往西天拜佛求經，是普陀巖大慈大悲觀音菩薩勸善，與他改名，喚做孫悟空行者。你怎麼沒得做，撞出這件禍來？他又在我海內遇著你的差人，奪了請帖，徑入水晶宮，拿捏我父子們，有『結連妖邪，搶奪人口』之罪。你快把唐僧、八戒送上河邊，交還了孫大聖，憑著我與他陪禮，你還好得性命；若有半個『不』字，休想得全生居於此也！」,太子道鼉怪,"太子道三藏、行者、八戒、沙僧、齊天府仙卿、敭瑀、弟地與五方揭諸神
"
719,玉帝道：「多少時不在天了？」,玉帝道四大天師,"玉皇大帝道太白金星、伶俐蟲、從者、鱖少年、鯉財童子、佈霧郎君
"
720,國王道：「你既不會降妖，怎麼敢上西天拜佛？」,國王道三藏,"國王道三藏、行者、八戒、沙僧、陀角、馬、阿羊力大仙、道老妖
"
721,長老道：「你且休胡談。待我問他一聲，看是怎麼說話。」,三藏道八戒,"三藏道行者、八戒、沙僧、馬、長老、酧天君、雷公、電母、鱖少年
"
722,好大聖，低頭捻訣，念個咒語，叫那日遊神、夜遊神、五方揭諦神：「即去與我奏上玉帝，說老孫皈依正果，保唐僧去西天取經，路阻高山，師逢苦厄。妖魔那寶，吾欲誘他換之，萬千拜上，將天借與老孫裝閉半個時辰，以助成功。若道半聲不肯，即上靈霄殿，動起刀兵！」,行者叫夜遊神,"行者叫道揭諦神、二十四路諸天與金角、齊天府仙卿個勾死人
"
723,急縱身跳在空中，念聲「唵」字咒語，把那北海龍王喚來：「我把你這個帶角的蚯蚓，有鱗的泥鰍！你怎麼助道士冷龍護住鍋底，教他顯聖贏我！」,行者喚來龍王,"行者喚來北海龍王、李彪磕頭配孫悟空、咒語、馬、麼助道士
"
724,那怪依舊復來床上摸一把，摸不著人，叫道：「姐姐，你往那裏去了？請脫衣服睡罷。」,怪道行者,"妖精叫道行者、八戒、沙僧、黑魚精、齊天府仙吏、酧天君、雷公、電母
"
725,唐僧道：「你雖試得深淺，卻不知有多少寬濶。」,三藏道八戒,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、鄧天君、雷公、電母
"
726,行者笑道：「只管走路，莫再多心。老孫自有防護。」,行者笑道三藏,"行者笑道三藏、八戒、沙僧、阿羊鬼、馬、酧天君、雷公、電母
"
727,悟空道：「我兒子便胡說！你是認不得我了，我本是這兩界山石匣中的大聖。你再認認看。」,孫悟空道老者,"孫悟空道菩提祖師、蕭瑀、張道磕頂大仙、李道士、倚海龍
"
728,行者道：「好土地！好山神！你道不怕老孫，卻怕妖怪！」,行者道山神、土地與五方揭諦神眾,"行者道八戒、沙僧、三藏、馬、鱖少年、鯉太子、 道山神、 倚海龍
"
729,太宗道：「卿有何慢罪？且起來，拂退殘棋，與卿從新更著。」,唐王道魏徵丞相,"唐王 道崔玨、倚海龍道玄奘、菩薩、蕭瑀、張道孫悟空
"
730,長老道：「你看我們睡在那裏耶！」,三藏道行者,"三藏道行者、八戒、沙僧、馬、長老、黑魚精、酧天君、雷公、電母、鰣軍
"
731,明月道：「不曾打，只是把我們人參樹打倒了。」,明月道小仙,"明月道行者、八戒、沙僧、雷公、電母、黿樹小道老星、鱖少年
"
732,那道人躬身答禮道：「那裏來的老爺？」,道人道行者,"道人答禮道行者、八戒、沙僧、馬、鱖婆、酧天師、雷公、電母
"
733,國王大驚，即著當駕太師領他往文華殿裏梳洗去了。,國王著太師,"國王著當駕太師領行者、往文華殿蕭瑀、梳洗去驚唐王
"
734,那獃子又說出獃話來道：「看風。東風猶可，西風也將就；若是南風起，把青天也拱個大窟窿！」,八戒道鎮殿將軍,"八戒說出獃話來道三藏、行者、沙僧、馬、鱖少年、酧天師、長老
"
735,那老君收了金鋼琢，請玉帝同觀音、王母、眾仙等，俱回靈霄殿。,太上老君請玉帝、觀音、王母、眾仙,"太上老君請玉帝、觀音、王母、眾仙等、俱回靈霄殿孫悟空
"
736,三藏在馬上歡喜道：「徒弟，我一向西來，經歷許多山水，都是那嵯峨險峻之處，更不似此山好景，果然的幽趣非常。若是相近雷音不遠路，我們好整肅端嚴見世尊。」,三藏道行者,"三藏歡喜道行者、八戒、沙僧、馬、靈神、鱖婆、鯉太尉、長老
"
737,撐開著一雙金睛鬼眼，叫聲「小的們，你看門外是甚麼人！」,妖魔叫小妖,"孫悟空叫聲小妖、尉粡童子、張道源著秦個將軍、鬼鬼眼
"
738,如來笑道：「我是西方極樂世界釋迦牟尼尊者，南無阿彌陀佛。今聞你猖狂村野，屢反天宮，不知是何方生長，何年得道，為何這等暴橫？」,如來佛祖笑道孫悟空,"如來佛祖笑道孫悟空、秦瓊菩薩、教僧、阿羊力大仙
"
739,猴王笑道：「膿包！膿包！我已饒了你，你快去報信！快去報信！」,孙悟空笑道巨靈神,"美猴王笑道菩提祖師、 八戒、沙僧、馬、魚羅頂大仙、長老
"
740,這行者就端肅尊誠，與大神到了紫竹林裏，參拜菩薩。,行者拜菩薩,"孫悟空拜菩薩、玉皇大帝、大神到了紫竹林裏、推雲端肅尊誠
"
741,劉太保誠然膽大，走上前來，與他拔去了鬢邊草，頷下莎，問道：「你有甚麼說話？」,伯欽問道孫悟空,"劉太保誠然膽大、走上前來佛祖問道魏徵、蕭瑀、張道菩薩
"
742,眾僧道：「不是！不是！那老爺我們認得他。」,眾僧道行者,"眾僧道行者、八戒、悟淨、馬、鯉太宰、鱖少卿、齊天府頂大仙吏
"
743,那怪道：「我願皈正果。」,妖怪道菩薩,"銀角道三藏、行者、 八戒、沙僧、頂大仙、馬、長老君、鯉太子、鰣軍
"
744,長老又沒奈何道：「你且起來，我再饒你這一次，卻不可再行兇了。」,三藏道 行者,"三藏何道行者、八戒、沙僧、馬、長老、酧天君、雷公、電母、鯉太官
"
745,眾妖道：「唐僧在那裏？」,小妖道銀角,"眾妖道孫悟空、三藏、八戒、沙僧、鱖少卿、黑魿個少年
"
746,菩薩道：「乃陛下令甥顯聖二郎真君，見居灌洲灌江口，享受下方香火。他昔日曾力誅六怪，又有梅山兄弟與帳前一千二百草頭神，神通廣大。奈他只是聽調不聽宣，陛下可降一道調兵旨意，著他助力，便可擒也。」,菩薩道玉帝,"菩薩道行者、八戒、沙僧、香、陀、阿翊蕊、弟與二十四路諸神
"
747,悟空道：「師父又來了！怎麼叫做『水中撈月』？」,孫悟空道菩提祖師,"孫悟空道菩提祖師、木叉、善財童子、捧珠龍女道行者、揭諦
"
748,悟空迎近前來問曰：「你是誰家小哥？闖近吾門，有何事幹？」,孙悟空問曰哪吒,"孫悟空問曰菩提祖師、 八戒、沙僧、鱖婆、長老猴
"
749,行者道：「遵命，遵命。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、長老、鯉调、酧天君、雷公、電母
"
750,三藏道：「承老母盛賜；但只是我徒弟已走了，不敢領受。」,三藏道老母,"三藏道老和尚、八戒、悟淨、沙僧、頂大仙、鯉太宰、馬、酧天君
"
751,那老者道：「實不瞞你說。我家老小六七口，纔淘了三升米下鍋，還未曾煮熟。你且到別處去轉轉再來。」,老者道行者,"老者道三藏、行者、八戒、沙僧、馬、鱖少年、酧天君、鯉太子、鍋老君
"
752,小妖叩頭，不敢聲言。,精細鬼、伶俐蟲叩頭金角、銀角,"精細鬼、伶俐蟲磕頭銀角、徒弟，道沙僧、道士、馬、長老
"
753,行者道：「兄弟，你好不知止足！這個東西，比不得那米食麵食，撞著儘飽。像這一萬年只結得三十個，我們喫他這一個，也是大有緣法，不等小可。罷罷罷！彀了！」,行者道八戒,"孫悟空道八戒、沙僧、馬、鱖少卿、麵食、酧天師、鿊天府仙吏
"
754,老者道：「再往上岸走走，好的離那碑記只有里許，有一座靈感大王廟，你不曾見？」,老者道行者,"老者道三藏、行者、八戒、沙僧、馬、長老、酧天君、雷公、電曾臣
"
755,這人無奈，只得以實情告訴道：「我是高太公的家人，名叫高才。我那太公有個老女兒，年方二十歲，更不曾配人，三年前被一個妖精佔了。那妖整做了這三年女婿。我太公不悅，說道：『女兒招了妖精，不是長法：一則敗壞家門，二則沒個親家來往。』一向要退這妖精。那妖精那裏肯退，轉把女兒關在他後宅，將有半年，再不放出與家內人相見。我太公與了我幾兩銀子，教我尋訪法師，拿那妖怪。我這些時不曾住腳，前前後後，請了有三四個人，都是不濟的和尚，膿包的道士，降不得那妖精。剛纔罵了我一場，說我不會幹事，又與了我五錢銀子做盤纏，教我再去請好法師降他。不期撞著你這個紇刺星扯住，誤了我走路，故此裏外受氣，我無奈，纔與你叫喊。不想你又有些拿法，我掙不過你，所以說此實情。你放我去罷。」,少年道孫悟空,"皇帝告訴道三藏、行者、 八戒、沙僧、馬、高才、齊天府以實情告唐王
"
756,不一時，那玉清元始天尊、上清靈寶天尊、太清道德天尊、五炁真君、五斗星君、三官四聖、九曜真君、左輔、右弼、天王、哪吒，元虛一應靈通，對對旌旗，雙雙幡蓋，都捧著明珠異寶，壽果奇花，向佛前拜獻曰：「感如來無量法力，收伏妖猴。蒙大天尊設宴，呼喚我等皆來陳謝。請如來將此會立一名，如何？」,五斗星君命玉帝,"哪吒命玉帝始天尊、上清靈寶天師、二郎真君、五炁二十四路諸天王、五十丞相
"
757,那怪一個旋風，奔上岸來，徑搶唐僧，慌得行者把師父抱住，急登高岸，回身走脫。,行者抱三藏,"銀角抱三藏、行者、八戒、沙僧、馬、鱖少卿、高岸、齊天府仙吏
"
758,行者道：「師父莫慮，且請上馬。那獃子有些懶惰，斷然走的遲慢。你把馬打動些兒，我們定趕上他，一同去罷。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、鱖婆、酧天師、雷公、電母、鯉太子
"
759,沙僧埋怨道：「都是你這獃子化齋不來，必有妖精拿師父也。」,沙僧埋怨道八戒,"沙僧埋怨道行者、八戒、漢翊菩薩、鱖少卿、齊天府仙吏
"
760,行者道：「想是累苦了，見鬼麼？」,行者道眾僧,"行者道八戒、沙僧、鬼麼，鬼、雷公、電母、鱖少年、魅星、長老
"
761,那怪道：「師父，不須你助功。我二大王有些法術，遣了三座大山把他壓在山下，寸步難移，教我兩個拿寶貝來裝他的。」,精細鬼道行者,"怪物道大小眷日、木叉行者、善財童子、捧珠龍女道黑魚秀頂大仙
"
762,行者道：「不瞞你老人家說，我們出家人，自來無病，從不曉得害眼。」,行者道老者,"行者道三藏、八戒、沙僧、馬、長老、鎮元大仙、鯉太子、 道和尚
"
763,叫：「小妖，且休舉哀，把豬八戒解下來，蒸得稀爛，等我喫飽了，再去拿孫行者報仇。」,金角叫小妖,"小妖叫道銀角、徒弟，秦叫唐王 、 八戒、沙僧、鱖將軍
"
764,張稍道：「李兄，我纔僭先起句，今到我兄，也先起一聯，小弟亦當續之。」,張稍道李定,"張稍道李定、哪吒、徐茂功、護公、巴山大神、木叉行者、善財童子、倚海龍
"
765,八戒道：「嘴臉！你又不曾去，你曉得那些兒，要替我說？」,八戒道行者,"八戒道行者、沙僧、三藏、摩昂、鹿力大仙、阿羊鬼、鯉太八道士
"
766,八戒道：「他有七十二般變化，就有七十二條性命。你扯著腳，等我擺佈他。」,八戒道沙僧,"八戒道行者、沙僧、三藏、馬、酧天君、鯉天府仙吏、佈霧郎、仙卿君
"
767,沙僧迎著道：「哥哥，你怎麼去請菩薩，此時纔來！焦殺我也！」,沙僧迎著道行者,"沙僧道行者、八戒、悟淨、源著同精細鬼、鱖少卿、鯉天府仙吏
"
768,小妖一齊跪下道：「大王，自家父親，也認不得？」,小妖道妖王,"精細鬼、伶俐蟲跪下道伯欽、三藏、行者、 八戒、沙僧、馬、長老
"
769,行者道：「五百個都與我有親。」,行者道道士,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太子、 道和尚
"
770,這個說：「你強婚公主傷國體！」,八戒、沙僧說老妖,"老妖說公主、沙僧、三藏、行者、 八戒、馬、鱖少卿、鯉太子、長老
"
771,八戒也不放馬，將馬拉向前來。,八戒拉馬,"八戒拉馬、流、奔、巴、鹿力大仙、鿊天府仙吏、鯉太子、長老君
"
772,行者將菩薩降魔收怪的那一節，陳訴與他君臣聽了，一個個頂禮不盡。,行者陳訴君臣儲后,"孫悟空陳訴、他君臣聽菩薩、降金頂禮不盡、銀角
"
773,那怪道：「立也立不起來，怎生走路？」,銀角道三藏,"銀角道三藏、行者、 八戒、沙僧、馬、鱖少卿、鯉太宰、長老君
"
774,那老者道：「你在那裏見我？」,老者道孫悟空,"老者道三藏、行者、八戒、沙僧、馬、鱖婆、酧天君、雷公、電母
"
775,八戒道：「師兄，那妖精的武藝如何？」,八戒道行者,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈鰣軍君、�母、尉道士
"
776,那怪道：「你好不丈夫啊！既受了師父趕逐，卻有甚麼嘴臉，又來見人！」,老妖道行者,"怪物道大小眷日、木叉行者、善財童子、捧珠龍女道黑魚秀頂大仙
"
777,那老者方信是他徒弟，急回頭作禮道：「老爺，沒大事，沒大事，纔然關了燈，散了花，佛事將收也。」,老者作禮道三藏,"老者作禮道三藏、行者、 八戒、沙僧、馬、長老、鯉太子、齊天府仙吏、頭、酧天君
"
